seq,pr_station_id,bus_line_no,bus_line_no_seq,station_nm,station_id,mobile_no
"65286","228000018",10-4,"1",용인터미널,"228001552","47634"
"65287","228000018",10-4,"2",용인터미널(경유),"277102443",
"65288","228000018",10-4,"3",포브스병원,"228000443","29439"
"65289","228000018",10-4,"4",제일교회,"228000665","29881"
"65290","228000018",10-4,"5",라이프아파트,"228000664","29457"
"65291","228000018",10-4,"6",송담대,"228000663","29464"
"65292","228000018",10-4,"7",기후변화체험교육센터.삼삼부락,"228001508","29883"
"65293","228000018",10-4,"8",삼삼부락마을회관,"228000662","29488"
"65294","228000018",10-4,"9",목동야목농원,"228001509","29885"
"65295","228000018",10-4,"10",예비군훈련장,"228000661","29497"
"65296","228000018",10-4,"11",별학,"228000660","29508"
"65297","228000018",10-4,"12",백마기도원,"228000659","29519"
"65298","228000018",10-4,"13",장재미,"228001511","29888"
"65299","228000018",10-4,"14",운학초등학교,"228000658","29532"
"65300","228000018",10-4,"15",엘에스시스템,"228000657","47522"
"65301","228000018",10-4,"16",예직,"228000656","29558"
"65302","228000018",10-4,"17",해곡동,"228001718","29889"
"65303","228000018",10-4,"18",별미,"228001714","29563"
"65304","228000018",10-4,"19",와우정사,"228001514","29573"
"65305","228000018",10-4,"20",곱등고개,"228000654","29890"
"65306","228000018",10-4,"21",용암,"228001515","47639"
"65307","228000018",10-4,"22",물구리,"228000653","29588"
"65308","228000018",10-4,"23",사암주유소,"228001517","29597"
"65309","228000018",10-4,"24",고당리,"228001518","29891"
"65310","228000018",10-4,"25",원삼,"228001597","29617"
"65311","228000018",10-4,"26",원삼초등학교,"228000651","29629"
"65312","228000018",10-4,"27",독성2리,"228000650","29644"
"65313","228000018",10-4,"28",두창7리,"228000648","29658"
"65314","228000018",10-4,"29",두창리,"228000647","29660"
"65315","228000018",10-4,"30",율곡,"228000646","29895"
"65316","228000018",10-4,"31",창동마을,"228000645","29669"
"65317","228000018",10-4,"32",용운사입구,"228001612","29896"
"65318","228000018",10-4,"33",신대부락,"228000644","29675"
"65319","228000018",10-4,"34",근창리,"228000643","29684"
"65320","228000018",10-4,"35",백암초.중.고등학교,"228001525","29897"
"65321","228000018",10-4,"36",백암터미널,"228001240","29713"
"65322","228000018",10-4,"37",백암면주민자치센터,"228002184","56043"
"65323","228000018",10-4,"38",백암시장입구,"228002174","56024"
"65324","228000018",10-4,"39",내수곡,"228000642","29690"
"65325","228000018",10-4,"40",영곡,"228000641","47669"
"65326","228000018",10-4,"41",장계리,"228000640","29695"
"65327","228000018",10-4,"42",가리산,"228000639","29699"
"65328","228000018",10-4,"43",강촌,"228000638","29703"
"65329","228000018",10-4,"44",곡율.선영주유소,"228000637","29702"
"65330","228000018",10-4,"45",장평교,"228001239","29710"
"65331","228000018",10-4,"46",장평휴게소,"228000636","29714"
"65332","228000018",10-4,"47",장평초등학교,"228001527","47424"
"65333","228000018",10-4,"48",옥천마을,"228001528","47423"
"65334","228000018",10-4,"49",하산마을,"228000487","29729"
"65335","228000018",10-4,"50",상산,"228001529","29736"
"65336","228000018",10-4,"51",옥산리(경유),"277102244",
"65337","228000018",10-4,"52",옥산리(경유),"277102245",
"65338","228000018",10-4,"53",하산마을,"228000484","29730"
"65339","228000018",10-4,"54",옥천마을,"228001531","47422"
"65340","228000018",10-4,"55",장평삼거리,"228000632","29716"
"65341","228000018",10-4,"56",장평휴게소,"228000631","29715"
"65342","228000018",10-4,"57",장평교,"228000630","29711"
"65343","228000018",10-4,"58",강촌,"228000629","29704"
"65344","228000018",10-4,"59",장계리,"228000628","29696"
"65345","228000018",10-4,"60",영곡,"228000627","29693"
"65346","228000018",10-4,"61",내수곡,"228000626","29691"
"65347","228000018",10-4,"62",백암시장입구,"228002175","56025"
"65348","228000018",10-4,"63",백암면주민자치센터,"228002185","56044"
"65349","228000018",10-4,"64",백암터미널,"228001584","47447"
"65350","228000018",10-4,"65",백암초.중.고등학교,"228001532","29898"
"65351","228000018",10-4,"66",근창리,"228000625","29687"
"65352","228000018",10-4,"67",신대부락,"228000624","29676"
"65353","228000018",10-4,"68",용운사입구,"228000623","29674"
"65354","228000018",10-4,"69",창동마을,"228000622","29668"
"65355","228000018",10-4,"70",율곡,"228000621","29665"
"65356","228000018",10-4,"71",두창리,"228000620","29661"
"65357","228000018",10-4,"72",두창7리,"228000619","29659"
"65358","228000018",10-4,"73",황토현.두창2리,"228000618","29894"
"65359","228000018",10-4,"74",독성2리,"228000617","29643"
"65360","228000018",10-4,"75",원삼초등학교,"228000616","29632"
"65361","228000018",10-4,"76",원삼,"228000615","29619"
"65362","228000018",10-4,"77",고당리,"228000614","29603"
"65363","228000018",10-4,"78",사암주유소,"228001583","47045"
"65364","228000018",10-4,"79",물구리,"228000613","29589"
"65365","228000018",10-4,"80",용암.농업기술센타,"228000612","29583"
"65366","228000018",10-4,"81",해곡동,"228000611","47638"
"65367","228000018",10-4,"82",별미,"228000610","29566"
"65368","228000018",10-4,"83",해곡동,"228000609","29562"
"65369","228000018",10-4,"84",예직,"228000608","29559"
"65370","228000018",10-4,"85",엘에스시스템,"228000607","47326"
"65371","228000018",10-4,"86",운학동,"228000606","47637"
"65372","228000018",10-4,"87",장재미,"228000605","29522"
"65373","228000018",10-4,"88",백마기도원,"228001510","29887"
"65374","228000018",10-4,"89",별학,"228000604","29510"
"65375","228000018",10-4,"90",목동야목농원,"228000603","29495"
"65376","228000018",10-4,"91",삼삼부락마을회관,"228000602","29489"
"65377","228000018",10-4,"92",기후변화체험교육센터.삼삼부락,"228000601","29884"
"65378","228000018",10-4,"93",송담대,"228000600","29462"
"65379","228000018",10-4,"94",라이프아파트,"228000599","29458"
"65380","228000018",10-4,"95",제일교회,"228000598","29882"
"65381","228000018",10-4,"96",포브스병원,"228000450","29441"
"65382","228000018",10-4,"97",용인터미널,"228000197","29436"
"65383","228000018",10-4,"98",용인터미널(경유),"277102695",
"65476","228000020","7","1",용인터미널,"228001552","47634"
"65477","228000020","7","2",용인터미널(경유),"277102487",
"65478","228000020","7","3",처인구청후문,"228000752","29418"
"65479","228000020","7","4",문예회관입구,"228000751","29416"
"65480","228000020","7","5",주공아파트,"228000750","29411"
"65481","228000020","7","6",중앙지구대,"228000446","29412"
"65482","228000020","7","7",처인구청.용인헌혈의집,"228000445","29420"
"65483","228000020","7","8",용인시장.시장약국,"228000444","29425"
"65484","228000020","7","9",운동장.송담대역,"228000320","29430"
"65485","228000020","7","10",고진역입구,"228000319","29454"
"65486","228000020","7","11",무수막,"228000318","29453"
"65487","228000020","7","12",유림동주민센터,"228000317","29451"
"65488","228000020","7","13",상유곡.버드실,"228000316","29449"
"65489","228000020","7","14",유림동.방축,"228000315","29452"
"65490","228000020","7","15",화훼단지앞,"228000314","29443"
"65491","228000020","7","16",둔전다리,"228001297","47629"
"65492","228000020","7","17",성웅아파트앞,"228001505","47165"
"65493","228000020","7","18",숲속그린빌,"228001506","47446"
"65494","228000020","7","19",성웅아파트앞,"228001504","47160"
"65495","228000020","7","20",영문중학교,"228000406","29943"
"65496","228000020","7","21",영문1리,"228000405","29945"
"65497","228000020","7","22",영문리,"228000386","29947"
"65498","228000020","7","23",영문2리,"228002092","47343"
"65499","228000020","7","24",마성1리,"228000385","29951"
"65500","228000020","7","25",에버힐스마을입구,"228002076","47971"
"65501","228000020","7","26",마성리,"228000384","47675"
"65502","228000020","7","27",마성리,"228000383","47625"
"65503","228000020","7","28",에버힐스마을입구,"228002077","47972"
"65504","228000020","7","29",마성1리,"228000382","29952"
"65505","228000020","7","30",영문2리,"228002052","47965"
"65506","228000020","7","31",영문리,"228000381","29948"
"65507","228000020","7","32",영문1리,"228000404","29946"
"65508","228000020","7","33",영문중학교,"228000403","29944"
"65509","228000020","7","34",성웅아파트앞,"228001505","47165"
"65510","228000020","7","35",숲속그린빌,"228001506","47446"
"65511","228000020","7","36",성웅아파트앞,"228001504","47160"
"65512","228000020","7","37",둔전다리,"228000328","29442"
"65513","228000020","7","38",화원,"228000327","29444"
"65514","228000020","7","39",유림동.방축,"228000326","29447"
"65515","228000020","7","40",상유곡.버드실,"228000325","29445"
"65516","228000020","7","41",유림동주민센터,"228000324","29446"
"65517","228000020","7","42",무수막,"228000323","29448"
"65518","228000020","7","43",고진역입구,"228000322","29450"
"65519","228000020","7","44",운동장.송담대역,"228000321","29429"
"65520","228000020","7","45",용인시장.시장약국,"228000449","29428"
"65521","228000020","7","46",처인구청.용인헌혈의집,"228000448","29419"
"65522","228000020","7","47",중앙지구대,"228000447","29413"
"65523","228000020","7","48",주공아파트,"228001299","29410"
"65524","228000020","7","49",문예회관입구,"228001300","29415"
"65525","228000020","7","50",처인구청후문,"228000774","29417"
"65526","228000020","7","51",용인터미널,"228000197","29436"
"65527","228000020","7","52",용인터미널(경유),"277102695",
"65528","228000021","8","1",용인터미널,"228001552","47634"
"65529","228000021","8","2",용인터미널(경유),"277102443",
"65530","228000021","8","3",운동장.송담대역,"228000320","29430"
"65531","228000021","8","4",공설운동장,"228000418","47121"
"65532","228000021","8","5",용마초교,"228001543","47489"
"65533","228000021","8","6",서울병원,"228000439","47307"
"65534","228000021","8","7",덕영고등학교.고림5통마을회관,"228000438","47308"
"65535","228000021","8","8",고림고등학교,"228000437","47573"
"65536","228000021","8","9",단사마을,"228001544","47538"
"65537","228000021","8","10",명성주유소,"228001753","47719"
"65538","228000021","8","11",예진마을입구,"228000266","29912"
"65539","228000021","8","12",인정피렌체아파트,"228001295","29914"
"65540","228000021","8","13",용샘주유소,"228001296","29916"
"65541","228000021","8","14",영화마을.이삭아파트,"228000269","29925"
"65542","228000021","8","15",느티나무,"228000268","29927"
"65543","228000021","8","16",미성비철,"228000425","29929"
"65544","228000021","8","17",보평,"228000424","29931"
"65545","228000021","8","18",영화마을,"228000423","29933"
"65546","228000021","8","19",보평상부주택,"228001775","47742"
"65547","228000021","8","20",고림동.삼정그린뷰,"228000279","29935"
"65548","228000021","8","21",인정프린스아파트,"228000278","29937"
"65549","228000021","8","22",둔전역,"228001777","47745"
"65550","228000021","8","23",신원아파트,"228001150","29465"
"65551","228000021","8","24",둔전농협앞,"228001152","29470"
"65552","228000021","8","25",둔전초등학교,"228001784","47748"
