std_ymd,tm_trm,org,dst,pop
20180703,00_05,기배동,남양읍,11.04
20180703,00_05,기배동,동탄1동,13.8
20180703,00_05,기배동,동탄2동,24.84
20180703,00_05,기배동,동탄3동,8.28
20180703,00_05,기배동,동탄4동,2.76
20180703,00_05,기배동,동탄5동,8.28
20180703,00_05,기배동,동탄6동,8.28
20180703,00_05,기배동,마도면,5.52
20180703,00_05,기배동,매송면,11.04
20180703,00_05,기배동,반월동,5.52
20180703,00_05,기배동,병점1동,11.04
20180703,00_05,기배동,병점2동,13.8
20180703,00_05,기배동,봉담읍,1065.02
20180703,00_05,기배동,비봉면,5.52
20180703,00_05,기배동,송산면,2.76
20180703,00_05,기배동,양감면,5.52
20180703,00_05,기배동,우정읍,19.32
20180704,00_05,기배동,남양읍,16.56
20180704,00_05,기배동,동탄1동,13.8
20180704,00_05,기배동,동탄2동,33.12
20180704,00_05,기배동,동탄5동,2.76
20180704,00_05,기배동,동탄6동,5.52
20180704,00_05,기배동,마도면,2.76
20180704,00_05,기배동,매송면,8.28
20180704,00_05,기배동,반월동,5.52
20180704,00_05,기배동,병점1동,8.28
20180704,00_05,기배동,병점2동,11.04
20180704,00_05,기배동,봉담읍,1053.98
20180704,00_05,기배동,비봉면,8.28
20180704,00_05,기배동,송산면,2.76
20180704,00_05,기배동,양감면,5.52
20180704,00_05,기배동,우정읍,16.56
20180704,00_05,기배동,장안면,11.04
20180704,00_05,기배동,정남면,30.36
20180704,00_05,기배동,진안동,19.32
20180704,00_05,기배동,팔탄면,24.84
20180704,00_05,기배동,향남읍,27.6
20180704,00_05,기배동,화산동,71.76
20180704,00_05,남양읍,기배동,11.04
20180704,00_05,남양읍,동탄1동,5.52
20180702,00_05,기배동,남양읍,16.56
20180702,00_05,기배동,동탄1동,13.8
20180702,00_05,기배동,동탄2동,8.28
20180702,00_05,기배동,동탄3동,2.76
20180702,00_05,기배동,동탄4동,2.76
20180702,00_05,기배동,동탄5동,2.76
20180702,00_05,기배동,동탄6동,5.52
20180702,00_05,기배동,매송면,5.52
20180702,00_05,기배동,반월동,2.76
20180702,00_05,기배동,병점1동,8.28
20180702,00_05,기배동,병점2동,8.28
20180702,00_05,기배동,봉담읍,1065.04
20180702,00_05,기배동,서신면,2.76
20180702,00_05,기배동,양감면,5.52
20180702,00_05,기배동,우정읍,13.8
20180702,00_05,기배동,장안면,5.52
20180702,00_05,기배동,정남면,5.52
20180702,00_05,기배동,진안동,22.08
20180702,00_05,기배동,팔탄면,5.52
20180702,00_05,기배동,향남읍,8.28
20180702,00_05,기배동,화산동,80.04
20180702,00_05,남양읍,기배동,13.8
20180702,00_05,남양읍,동탄2동,22.08
20180702,00_05,남양읍,동탄3동,8.28
20180702,00_05,남양읍,동탄4동,2.76
20180702,00_05,남양읍,동탄5동,16.56
20180702,00_05,남양읍,동탄6동,24.84
20180702,00_05,남양읍,마도면,333.87
20180702,00_05,남양읍,매송면,22.08
20180702,00_05,남양읍,반월동,11.04
20180702,00_05,남양읍,병점1동,2.76
20180702,00_05,남양읍,봉담읍,49.68
20180702,00_05,남양읍,비봉면,383.56
