'||승차역ID1||',startCount,end_count,transfer_count
0.0,1,,
150.0,222,237.0,163.0
151.0,199,196.0,47.0
152.0,304,238.0,12.0
153.0,122,128.0,16.0
154.0,108,91.0,
155.0,48,81.0,
156.0,40,46.0,15.0
157.0,44,42.0,6.0
158.0,46,42.0,
159.0,34,47.0,
201.0,32,35.0,7.0
202.0,70,98.0,341.0
203.0,33,26.0,101.0
204.0,26,25.0,
205.0,62,59.0,2.0
206.0,31,28.0,6.0
207.0,18,22.0,
208.0,68,44.0,
209.0,47,66.0,
210.0,44,60.0,
211.0,142,145.0,
212.0,137,153.0,29.0
213.0,45,57.0,17.0
214.0,104,111.0,32.0
215.0,72,64.0,
216.0,336,308.0,104.0
217.0,85,104.0,
218.0,85,80.0,12.0
219.0,752,885.0,42.0
220.0,633,578.0,40.0
221.0,433,586.0,20.0
222.0,508,333.0,1470.0
223.0,257,278.0,404.0
224.0,187,189.0,55.0
225.0,110,119.0,
226.0,125,165.0,364.0
227.0,111,96.0,58.0
228.0,200,182.0,
229.0,65,56.0,
230.0,180,184.0,98.0
231.0,80,81.0,
232.0,295,323.0,674.0
233.0,162,182.0,
234.0,388,323.0,99.0
235.0,100,117.0,
236.0,115,153.0,7.0
237.0,59,80.0,36.0
238.0,233,249.0,
239.0,492,487.0,88.0
240.0,324,269.0,28.0
241.0,90,97.0,7.0
242.0,19,21.0,
243.0,17,38.0,
244.0,4,5.0,
245.0,2,4.0,
246.0,6,10.0,
247.0,5,18.0,
248.0,40,37.0,6.0
249.0,37,44.0,
250.0,2,4.0,
309.0,1,,
310.0,24,26.0,
311.0,36,30.0,21.0
312.0,32,26.0,
313.0,7,19.0,
314.0,12,15.0,
315.0,7,4.0,
316.0,9,14.0,
317.0,56,81.0,8.0
318.0,69,74.0,
319.0,58,75.0,2.0
320.0,32,21.0,23.0
322.0,43,58.0,
323.0,33,24.0,
324.0,15,14.0,
325.0,15,18.0,
326.0,137,172.0,6.0
327.0,188,215.0,9.0
328.0,19,29.0,
329.0,219,196.0,17.0
330.0,45,24.0,98.0
331.0,179,183.0,182.0
332.0,50,37.0,121.0
333.0,81,76.0,
334.0,31,41.0,
335.0,71,52.0,5.0
336.0,23,26.0,
337.0,42,40.0,
338.0,57,68.0,3.0
339.0,12,16.0,81.0
340.0,33,53.0,
341.0,47,55.0,
342.0,58,87.0,20.0
409.0,10,10.0,3.0
410.0,15,7.0,
411.0,29,14.0,
412.0,22,20.0,
413.0,24,17.0,
414.0,39,28.0,39.0
415.0,17,15.0,
416.0,27,23.0,22.0
417.0,28,16.0,26.0
418.0,51,48.0,22.0
419.0,31,17.0,
420.0,177,192.0,7.0
421.0,109,111.0,
422.0,72,67.0,
423.0,113,114.0,
424.0,126,139.0,
425.0,98,122.0,3.0
426.0,23,58.0,102.0
427.0,52,56.0,14.0
428.0,41,39.0,
429.0,55,60.0,8.0
430.0,34,39.0,
431.0,2,7.0,
432.0,77,77.0,
433.0,99,93.0,902.0
434.0,5,3.0,175.0
813.0,2,,
1001.0,27,12.0,
1002.0,70,72.0,
1003.0,214,238.0,33.0
1004.0,144,81.0,
1005.0,155,159.0,76.0
1006.0,499,490.0,336.0
1007.0,84,94.0,
1008.0,12,5.0,
1009.0,2,4.0,
1010.0,6,16.0,
1012.0,10,1.0,
1013.0,103,92.0,20.0
1014.0,27,35.0,
1015.0,57,54.0,43.0
1016.0,35,46.0,
1017.0,13,9.0,
1018.0,14,6.0,
1019.0,17,20.0,4.0
1020.0,3,3.0,
1021.0,6,6.0,
1023.0,139,274.0,4.0
1024.0,95,123.0,16.0
1025.0,55,58.0,
1026.0,17,9.0,
1027.0,25,27.0,
1028.0,39,31.0,
1030.0,224,221.0,106.0
1032.0,88,77.0,19.0
1201.0,17,10.0,
1202.0,4,4.0,
1203.0,23,10.0,
1204.0,3,5.0,
1205.0,13,19.0,8.0
1206.0,6,5.0,
1207.0,1,,
1208.0,1,4.0,
1209.0,1,,
1210.0,1,,
1212.0,4,2.0,
1215.0,2,,
1216.0,2,,
1217.0,4,5.0,
1219.0,4,3.0,
1252.0,2,1.0,
1261.0,2,4.0,
1262.0,14,4.0,
1263.0,1,8.0,
1264.0,2,3.0,
1265.0,7,9.0,
1267.0,10,10.0,
1268.0,4,13.0,
1269.0,4,2.0,
1270.0,10,5.0,
1271.0,3,3.0,6.0
1273.0,4,2.0,
1274.0,16,10.0,
1275.0,11,8.0,
1276.0,10,7.0,
1277.0,3,1.0,
1278.0,9,1.0,
1279.0,7,3.0,
1280.0,10,10.0,
1284.0,7,15.0,
1312.0,1,1.0,
1313.0,2,,
1314.0,3,1.0,
1315.0,1,,
1317.0,2,3.0,
1319.0,1,1.0,
1320.0,3,12.0,
1321.0,2,2.0,
1323.0,12,21.0,
1324.0,1,,
1325.0,1,2.0,
1326.0,1,1.0,
1327.0,4,,
1328.0,3,1.0,
1329.0,3,1.0,
1401.0,30,28.0,
1402.0,73,96.0,
1403.0,99,89.0,
1405.0,36,37.0,
1407.0,112,121.0,
