,WGS84경도,WGS84위도,관할관청,모바일정류장ID,시군명,위치,이비카드정류장ID,정류소명,정류소번호,정류소영문명,중앙차로여부,표준정류장ID
0,126.7502167,37.0384,,,화성시,,7101618.0,고온리종점(경유),,,,277101618
1,126.77396670000002,37.1183833,,,화성시,,,호곡리(경유),,,,277101619
2,127.0969833,37.2166167,,,화성시,,,기흥동탄IC(경유),,,,277101636
3,126.9086333,37.1367833,,,화성시,,,발안삼거리.바다마트(경유),,,,277101644
4,126.7784167,37.1038,,,화성시,,,원안1리(경유),,,,277101677
5,126.91685,37.1418,,,화성시,,,점촌교차로(경유),,,,277101678
6,126.922,37.1491167,,,화성시,,,가재교차로(경유),,,,277101693
7,126.8987333,37.2546667,,,화성시,,,숙곡교차로(경유),,,,277101700
8,126.9393333,37.1929,,,화성시,,,왕림교차로(경유),,,,277101708
9,126.9223,37.149,,,화성시,,,가재교차로(경유),,,,277101732
10,126.93151670000002,37.1636167,,,화성시,,,팔탄입구삼거리(경유),,,,277101750
11,126.7724167,37.07975,,,화성시,,7101757.0,뒷말(경유),,,,277101757
12,126.9317833,37.1636,,,화성시,,,팔탄입구삼거리(경유),,,,277101775
13,127.02003329999998,37.2207167,,,화성시,,7101785.0,황계동(경유),,,,277101785
14,126.81935,37.20715,,,화성시,,7101822.0,영남교(경유),,,,277101822
15,127.0366167,37.20605,,,화성시,,7101836.0,병점정형외과(경유),,,,277101836
16,126.8849667,37.2806333,,,화성시,,,매송지하차도(경유),,,,277101841
17,126.89891670000002,37.2545833,,,화성시,,,숙곡교차로(경유),,,,277101878
18,127.0917,37.2169833,,,화성시,,,기흥동탄TG(경유),,,,277101884
19,126.9001,37.2385333,,,화성시,,,쌍학리(경유),,,,277101890
20,127.09156670000002,37.21655,,,화성시,,,기흥동탄TG(경유),,,,277101908
21,126.95723329999998,37.22935,,,화성시,,7101927.0,봉담IC교차로(경유),,,,277101927
22,126.9003,37.1642333,,,화성시,,,구장리(경유),,,,277101956
23,126.8332833,37.04975,,,화성시,,,덕다리(경유),,,,277101969
24,126.9752833,37.15135,,,화성시,,,문학4리(경유),,,,277101972
25,126.68921670000002,37.1183333,,,화성시,,,궁평1교차로(경유),,,,277101997
26,126.9000833,37.1397,,,화성시,,7102010.0,장짐삼거리(경유),,,,277102010
27,127.0364,37.2327667,,,화성시,,7102014.0,반정동(경유),,,,277102014
28,126.91701670000002,37.1415833,,,화성시,,7102040.0,점촌교차로(경유),,,,277102040
29,126.8182,37.1676667,,,화성시,,7102091.0,장덕동(경유),,,,277102091
30,126.81256670000002,37.17086670000001,,,화성시,,7102092.0,신남동(경유),,,,277102092
31,126.92591670000002,37.2407333,,,화성시,,7102185.0,원평리(경유),,,,277102185
32,126.9248667,37.2468833,,,화성시,,,원평리(경유),,,,277102186
33,127.0972833,37.21625,,,화성시,,,기흥동탄IC(경유),,,,277102247
34,126.93583329999998,37.16995,,,화성시,,,덕리(경유),,,,277102383
35,126.81455,37.0809333,,,화성시,,7102392.0,조암삼거리(경유),,,,277102392
36,126.9063333,37.1313167,,,화성시,,,발안리(경유),,,,277102393
37,126.81888329999998,37.0827,,,화성시,,7102394.0,조암리(경유),,,,277102394
38,126.9839667,37.20145,,,화성시,,,수기리(경유),,,,277102395
39,126.9085833,37.13665,,,화성시,,,발안삼거리.바다마트(경유),,,,277102431
40,126.97813329999998,37.2145,,,화성시,,7102448.0,수원대학교(경유),,,,277102448
41,126.8446833,37.1639667,,,화성시,,7102459.0,현대기아연구소(경유),,,,277102459
42,126.6588833,37.1689667,,,화성시,,7102502.0,송교리(경유),,,,277102502
43,126.9568833,37.2296333,,,화성시,,,봉담IC교차로(경유),,,,277102501
44,126.8161667,37.0859333,,,화성시,,,조암터미널(경유),,,,277102511
45,127.07241670000002,37.1930333,,,화성시,,7102522.0,새강마을사거리(경유),,,,277102522
46,126.8898167,37.2816,,,화성시,,,매송TG(경유),,,,277102544
47,126.8898167,37.2809,,,화성시,,,매송TG(경유),,,,277102546
48,126.9838,37.2115667,,,화성시,,,수원대학교(경유),,,,277102590
49,126.8233167,37.08481670000001,,,화성시,,,장안초등학교(경유),,,,277102592
50,126.9881333,37.2071833,,,화성시,,,용건릉(경유),,,,277102653
51,126.9441833,37.0736,,,화성시,,,신왕리(경유),,,,277102692
52,127.0301333,37.2088833,,,화성시,,,병점육교(경유),,,,277102693
53,126.9390167,37.19295,,,화성시,,,왕림교차로(경유),,,,277102694
